seq1,seq2,aln_length,pid
LSUASG_1837170_THOR,LSUASG_2026747_HEIM,115,16.52
LSUASG_1837170_THOR,LSUASG_B18G1_HEIM,130,20.00
LSUASG_1837170_THOR,LSUASG_B53-G9_LOKI,94,21.28
LSUASG_1837170_THOR,LSUASG_MK-D1_LOKI,94,21.28
LSUASG_1837170_THOR,LSUASG_AMARA-1S_LOKI,167,15.57
LSUASG_1837170_THOR,LSUASG_b32_LOKI,168,11.90
LSUASG_1837170_THOR,LSUASG_TEKIR-5S_LOKI,167,12.57
LSUASG_1837170_THOR,LSUASG_1538547_LOKI,194,9.28
LSUASG_1837170_THOR,LSUASG_BC1_LOKI,198,8.08
LSUASG_1837170_THOR,LSUASG_NODE_2003,202,8.91
LSUASG_1837170_THOR,LSUASG_NODE_1615,197,9.64
LSUASG_1837170_THOR,LSUASG_NODE_1830,225,9.33
LSUASG_1837170_THOR,LSUASG_F3H4_B5_LOKI,191,10.47
LSUASG_2053491_THOR,LSUASG_1936271_ODIN,60,36.67
LSUASG_2053491_THOR,LSUASG_115547_ODIN,60,35.00
LSUASG_2053491_THOR,LSUASG_2026747_HEIM,116,21.55
LSUASG_2053491_THOR,LSUASG_B18G1_HEIM,130,21.54
LSUASG_2053491_THOR,LSUASG_B53-G9_LOKI,96,25.00
LSUASG_2053491_THOR,LSUASG_MK-D1_LOKI,96,26.04
LSUASG_2053491_THOR,LSUASG_AMARA-1S_LOKI,167,19.16
LSUASG_2053491_THOR,LSUASG_b32_LOKI,170,12.94
LSUASG_2053491_THOR,LSUASG_TEKIR-5S_LOKI,169,14.20
LSUASG_2053491_THOR,LSUASG_1538547_LOKI,196,10.20
LSUASG_2053491_THOR,LSUASG_BC1_LOKI,199,10.05
LSUASG_2053491_THOR,LSUASG_NODE_2003,204,11.76
LSUASG_2053491_THOR,LSUASG_NODE_1615,199,10.55
LSUASG_2053491_THOR,LSUASG_NODE_1830,227,9.69
LSUASG_2053491_THOR,LSUASG_F3H4_B5_LOKI,192,11.98
LSUASG_1936271_ODIN,LSUASG_115547_ODIN,56,98.21
LSUASG_1936271_ODIN,LSUASG_2026747_HEIM,115,13.04
LSUASG_1936271_ODIN,LSUASG_B18G1_HEIM,130,13.85
LSUASG_1936271_ODIN,LSUASG_B53-G9_LOKI,95,25.26
LSUASG_1936271_ODIN,LSUASG_MK-D1_LOKI,95,22.11
LSUASG_1936271_ODIN,LSUASG_AMARA-1S_LOKI,166,15.06
LSUASG_1936271_ODIN,LSUASG_b32_LOKI,168,13.69
LSUASG_1936271_ODIN,LSUASG_TEKIR-5S_LOKI,167,10.78
LSUASG_1936271_ODIN,LSUASG_1538547_LOKI,194,10.82
LSUASG_1936271_ODIN,LSUASG_BC1_LOKI,198,11.62
LSUASG_1936271_ODIN,LSUASG_NODE_2003,202,11.39
LSUASG_1936271_ODIN,LSUASG_NODE_1615,197,11.17
LSUASG_1936271_ODIN,LSUASG_NODE_1830,225,9.33
LSUASG_1936271_ODIN,LSUASG_F3H4_B5_LOKI,191,12.04
LSUASG_115547_ODIN,LSUASG_2026747_HEIM,115,13.04
LSUASG_115547_ODIN,LSUASG_B18G1_HEIM,130,14.62
LSUASG_115547_ODIN,LSUASG_B53-G9_LOKI,95,24.21
LSUASG_115547_ODIN,LSUASG_MK-D1_LOKI,95,21.05
LSUASG_115547_ODIN,LSUASG_AMARA-1S_LOKI,166,15.66
LSUASG_115547_ODIN,LSUASG_b32_LOKI,168,14.29
LSUASG_115547_ODIN,LSUASG_TEKIR-5S_LOKI,167,11.38
LSUASG_115547_ODIN,LSUASG_1538547_LOKI,194,10.82
LSUASG_115547_ODIN,LSUASG_BC1_LOKI,198,12.12
LSUASG_115547_ODIN,LSUASG_NODE_2003,202,10.89
LSUASG_115547_ODIN,LSUASG_NODE_1615,197,11.68
LSUASG_115547_ODIN,LSUASG_NODE_1830,225,9.78
LSUASG_115547_ODIN,LSUASG_F3H4_B5_LOKI,191,12.57
LSUASG_2026747_HEIM,LSUASG_B18G1_HEIM,150,28.00
LSUASG_2026747_HEIM,LSUASG_B53-G9_LOKI,127,32.28
LSUASG_2026747_HEIM,LSUASG_MK-D1_LOKI,127,29.13
LSUASG_2026747_HEIM,LSUASG_AMARA-1S_LOKI,198,16.67
LSUASG_2026747_HEIM,LSUASG_b32_LOKI,199,17.09
LSUASG_2026747_HEIM,LSUASG_TEKIR-5S_LOKI,197,17.77
LSUASG_2026747_HEIM,LSUASG_1538547_LOKI,202,17.82
LSUASG_2026747_HEIM,LSUASG_BC1_LOKI,212,12.74
LSUASG_2026747_HEIM,LSUASG_NODE_2003,209,16.27
LSUASG_2026747_HEIM,LSUASG_NODE_1615,207,17.87
LSUASG_2026747_HEIM,LSUASG_NODE_1830,230,16.52
LSUASG_2026747_HEIM,LSUASG_F3H4_B5_LOKI,206,17.48
LSUASG_B18G1_HEIM,LSUASG_B53-G9_LOKI,143,24.48
LSUASG_B18G1_HEIM,LSUASG_MK-D1_LOKI,146,22.60
LSUASG_B18G1_HEIM,LSUASG_AMARA-1S_LOKI,197,20.30
LSUASG_B18G1_HEIM,LSUASG_b32_LOKI,195,16.92
LSUASG_B18G1_HEIM,LSUASG_TEKIR-5S_LOKI,194,21.65
LSUASG_B18G1_HEIM,LSUASG_1538547_LOKI,207,17.87
LSUASG_B18G1_HEIM,LSUASG_BC1_LOKI,215,15.81
LSUASG_B18G1_HEIM,LSUASG_NODE_2003,208,17.79
LSUASG_B18G1_HEIM,LSUASG_NODE_1615,209,18.66
LSUASG_B18G1_HEIM,LSUASG_NODE_1830,229,17.90
LSUASG_B18G1_HEIM,LSUASG_F3H4_B5_LOKI,208,21.15
LSUASG_B53-G9_LOKI,LSUASG_MK-D1_LOKI,104,48.08
LSUASG_B53-G9_LOKI,LSUASG_AMARA-1S_LOKI,187,16.04
LSUASG_B53-G9_LOKI,LSUASG_b32_LOKI,190,13.16
LSUASG_B53-G9_LOKI,LSUASG_TEKIR-5S_LOKI,189,13.76
LSUASG_B53-G9_LOKI,LSUASG_1538547_LOKI,197,16.75
LSUASG_B53-G9_LOKI,LSUASG_BC1_LOKI,208,15.38
LSUASG_B53-G9_LOKI,LSUASG_NODE_2003,206,16.50
LSUASG_B53-G9_LOKI,LSUASG_NODE_1615,203,16.26
LSUASG_B53-G9_LOKI,LSUASG_NODE_1830,226,14.60
LSUASG_B53-G9_LOKI,LSUASG_F3H4_B5_LOKI,194,18.04
LSUASG_MK-D1_LOKI,LSUASG_AMARA-1S_LOKI,194,14.95
LSUASG_MK-D1_LOKI,LSUASG_b32_LOKI,192,15.63
LSUASG_MK-D1_LOKI,LSUASG_TEKIR-5S_LOKI,191,14.66
LSUASG_MK-D1_LOKI,LSUASG_1538547_LOKI,194,19.59
LSUASG_MK-D1_LOKI,LSUASG_BC1_LOKI,210,14.76
LSUASG_MK-D1_LOKI,LSUASG_NODE_2003,202,19.31
LSUASG_MK-D1_LOKI,LSUASG_NODE_1615,201,18.91
LSUASG_MK-D1_LOKI,LSUASG_NODE_1830,225,16.89
LSUASG_MK-D1_LOKI,LSUASG_F3H4_B5_LOKI,198,17.68
LSUASG_AMARA-1S_LOKI,LSUASG_b32_LOKI,176,46.59
LSUASG_AMARA-1S_LOKI,LSUASG_TEKIR-5S_LOKI,176,47.16
LSUASG_AMARA-1S_LOKI,LSUASG_1538547_LOKI,201,39.30
LSUASG_AMARA-1S_LOKI,LSUASG_BC1_LOKI,213,28.64
LSUASG_AMARA-1S_LOKI,LSUASG_NODE_2003,210,34.76
LSUASG_AMARA-1S_LOKI,LSUASG_NODE_1615,205,39.51
LSUASG_AMARA-1S_LOKI,LSUASG_NODE_1830,235,32.34
LSUASG_AMARA-1S_LOKI,LSUASG_F3H4_B5_LOKI,193,49.74
LSUASG_b32_LOKI,LSUASG_TEKIR-5S_LOKI,169,53.85
LSUASG_b32_LOKI,LSUASG_1538547_LOKI,196,50.51
LSUASG_b32_LOKI,LSUASG_BC1_LOKI,213,37.56
LSUASG_b32_LOKI,LSUASG_NODE_2003,210,36.67
LSUASG_b32_LOKI,LSUASG_NODE_1615,205,42.44
LSUASG_b32_LOKI,LSUASG_NODE_1830,233,36.91
LSUASG_b32_LOKI,LSUASG_F3H4_B5_LOKI,199,46.23
LSUASG_TEKIR-5S_LOKI,LSUASG_1538547_LOKI,196,45.92
LSUASG_TEKIR-5S_LOKI,LSUASG_BC1_LOKI,214,33.64
LSUASG_TEKIR-5S_LOKI,LSUASG_NODE_2003,210,34.29
LSUASG_TEKIR-5S_LOKI,LSUASG_NODE_1615,205,39.51
LSUASG_TEKIR-5S_LOKI,LSUASG_NODE_1830,233,33.48
LSUASG_TEKIR-5S_LOKI,LSUASG_F3H4_B5_LOKI,199,44.72
LSUASG_1538547_LOKI,LSUASG_BC1_LOKI,222,37.84
LSUASG_1538547_LOKI,LSUASG_NODE_2003,209,41.63
LSUASG_1538547_LOKI,LSUASG_NODE_1615,204,69.12
LSUASG_1538547_LOKI,LSUASG_NODE_1830,232,38.36
LSUASG_1538547_LOKI,LSUASG_F3H4_B5_LOKI,202,47.52
LSUASG_BC1_LOKI,LSUASG_NODE_2003,229,34.93
LSUASG_BC1_LOKI,LSUASG_NODE_1615,224,33.93
LSUASG_BC1_LOKI,LSUASG_NODE_1830,234,39.74
LSUASG_BC1_LOKI,LSUASG_F3H4_B5_LOKI,218,37.16
LSUASG_NODE_2003,LSUASG_NODE_1615,211,43.13
LSUASG_NODE_2003,LSUASG_NODE_1830,230,40.43
LSUASG_NODE_2003,LSUASG_F3H4_B5_LOKI,209,44.02
LSUASG_NODE_1615,LSUASG_NODE_1830,234,42.74
LSUASG_NODE_1615,LSUASG_F3H4_B5_LOKI,205,48.78
LSUASG_NODE_1830,LSUASG_F3H4_B5_LOKI,234,39.74
